index	level before	level after	step	dwell before	dwell after	predicted error	measured error
929.0	34.78507568723431	37.06648158921053	2.281405901976221	10.0	10.0	0.5969825703606648	0.6609560322289086
939.0	37.06648158921053	34.92226674106811	-2.1442148481424255	10.0	10.0	0.5969825703606648	0.5500960643734577
949.0	34.92226674106811	37.29387668014412	2.3716099390760164	10.0	9.0	0.6133412860432824	0.5471330190633821
958.0	37.29387668014412	39.23696734584568	1.943090665701554	9.0	2.0	1.0435343366627088	1.7808602299218186
960.0	39.23696734584568	33.38826837037221	-5.848698975473468	2.0	2.0	1.3348936087089978	1.2483955250137413
962.0	33.38826837037221	35.06122035617515	1.6729519858029391	2.0	7.0	1.0702959710535738	0.31292129520820056
969.0	35.06122035617515	37.43997792923557	2.378757573060419	7.0	10.0	0.6578427525059924	0.5641310876278166
979.0	37.43997792923557	34.61115020077207	-2.8288277284634944	10.0	10.0	0.5969825703606648	0.6413653370802683
989.0	34.61115020077207	36.82312992234559	2.2119797215735204	10.0	10.0	0.5969825703606648	0.675519707057833
999.0	36.82312992234559	39.75388737551592	2.9307574531703295	10.0	6.0	0.6893360953984891	0.9764251869059347
1005.0	39.75388737551592	38.27737600841493	-1.47651136710099	6.0	5.0	0.8083182214180551	1.0380856390794189
1010.0	38.27737600841493	41.12415679365075	2.846780785235815	5.0	8.0	0.761006443885952	0.4416410117201951
1018.0	41.12415679365075	42.60511231461279	1.4809555209620413	8.0	2.0	1.0553260593805034	1.584810494257018
1020.0	42.60511231461279	38.46375632718498	-4.141355987427808	2.0	10.0	1.0340041430977336	0.13800605104821664
1030.0	38.46375632718498	39.976477923572006	1.5127215963870242	10.0	2.0	1.0340041430977336	0.4217421854416316
1032.0	39.976477923572006	41.509823825770155	1.5333459021981497	2.0	7.0	1.0702959710535738	0.45219707340433246
1039.0	41.509823825770155	38.5521990236376	-2.957624802132557	7.0	8.0	0.6908730785672311	0.5903253976754381
1047.0	38.5521990236376	40.112155123932624	1.5599561002950253	8.0	4.0	0.8174520505598777	0.5205554878184436
1051.0	40.112155123932624	41.061953717545855	0.9497985936132309	4.0	9.0	0.8021712255815757	0.2673182665762825
1060.0	41.061953717545855	39.44756216523985	-1.614391552306003	9.0	3.0	0.8899290724726652	0.643483304216384
1063.0	39.44756216523985	38.89255306645419	-0.5550090987856606	3.0	7.0	0.9211641047563082	0.3196434429481387
1070.0	38.89255306645419	40.98813251095997	2.0955794445057805	7.0	9.0	0.6727231457854425	0.5022783855850017
1079.0	40.98813251095997	38.77449249512616	-2.2136400158338105	9.0	10.0	0.6133412860432824	0.7209290919973014
1089.0	38.77449249512616	40.95964557239912	2.1851530772729575	10.0	11.0	0.5832569983838775	0.6912317961425967
1100.0	40.95964557239912	43.823884721056395	2.8642391486572762	11.0	4.0	0.7794099487109399	0.6464551524115301
1104.0	43.823884721056395	42.276303844360974	-1.5475808766954202	4.0	6.0	0.8616701192481113	0.7554723190869368
1110.0	42.276303844360974	45.204547633609	2.928243789248029	6.0	9.0	0.7035507062536689	0.5138740855889621
1119.0	45.204547633609	43.06293991425305	-2.141607719355953	9.0	10.0	0.6133412860432824	0.47140390131924653
1129.0	43.06293991425305	44.924759974929266	1.8618200606762159	10.0	10.0	0.5969825703606648	0.48741340180251497
1139.0	44.924759974929266	43.01108516902409	-1.913674805905174	10.0	10.0	0.5969825703606648	0.5517744394305653
1149.0	43.01108516902409	45.26084055785471	2.2497553888306214	10.0	10.0	0.5969825703606648	0.5434482448215107
1159.0	45.26084055785471	43.02186009394176	-2.2389804639129522	10.0	9.0	0.6133412860432824	0.6144227766253298
1168.0	43.02186009394176	45.54167295437206	2.5198128604302994	9.0	9.0	0.629274881920476	0.6185628768377448
1177.0	45.54167295437206	43.99844885415162	-1.543224100220442	9.0	2.0	1.0435343366627088	0.552221684219593
1179.0	43.99844885415162	42.454669716986174	-1.5437791371654441	2.0	10.0	1.0340041430977336	0.48801664784629323
1189.0	42.454669716986174	44.91243476897006	2.457765051983884	10.0	5.0	0.7311513413593926	0.6907800263998282
1194.0	44.91243476897006	46.17911027524813	1.2666755062780695	5.0	5.0	0.8442608475044026	0.7748724314241056
