IndexStep,TimeStep,LevelBefore,LevelAfter,StepSize,DwellTimeStepBefore,DwellTimeStepAfter,StepError
3552,3552,0.398932608695652,0.751389285714286,0.352456677018634,23,14,0.0361250184070576
3566,3566,0.751389285714286,0.399190348837209,-0.352198936877077,14,86,0.0313534519366492
3652,3652,0.399190348837209,0.508359615384616,0.109169266547407,86,78,0.0191464872913885
3730,3730,0.508359615384616,0.431493770491803,-0.0768658448928122,78,366,0.0168525851362864
4096,4096,0.431493770491803,0.460025217391304,0.028531446899501,366,23,0.0224417683235215
4119,4119,0.460025217391304,0.40448384,-0.0555413773913043,23,125,0.0227290939622651
4244,4244,0.40448384,0.507160606060606,0.102676766060606,125,33,0.0171145109974645
4277,4277,0.507160606060606,0.7137,0.206539393939394,33,2,0.0968340941708729
4279,4279,0.7137,0.321695172413793,-0.392004827586207,2,29,0.0996341850380568
4308,4308,0.321695172413793,0.54708976744186,0.225394595028067,29,129,0.0297386188203872
4437,4437,0.54708976744186,0.348728947368421,-0.198360820073439,129,19,0.0221532215356843
4456,4456,0.348728947368421,0.9805525,0.631823552631579,19,4,0.0580590494949973
4460,4460,0.9805525,0.356914375,-0.623638125,4,16,0.0604082289777574
4476,4476,0.356914375,0.657635945945946,0.300721570945946,16,37,0.0306991815224406
4513,4513,0.657635945945946,0.253524,-0.404111945945946,37,5,0.0577913165356059
4518,4518,0.253524,0.586378,0.332854,5,5,0.131858743509864
4523,4523,0.586378,0.406696629213483,-0.179681370786517,5,178,0.11989953698175
4701,4701,0.406696629213483,0.539967272727273,0.133270643513789,178,11,0.025141454149183
4712,4712,0.539967272727273,0.6972196,0.157252327272727,11,25,0.0310765809939069
4737,4737,0.6972196,0.282725714285714,-0.414493885714286,25,42,0.0292290746313511
4779,4779,0.282725714285714,0.687585769230769,0.404860054945055,42,26,0.0294634619859687
4805,4805,0.687585769230769,0.512885,-0.174700769230769,26,2,0.242301905090255
4807,4807,0.512885,0.281654485981308,-0.231230514018692,2,107,0.241754119519766
4914,4914,0.281654485981308,0.421918666666667,0.140264180685358,107,15,0.031723070566614
4929,4929,0.421918666666667,1.05804588235294,0.636127215686275,15,17,0.0512376630354522
4946,4946,1.05804588235294,0.692461842105263,-0.365584040247678,17,38,0.0459761265286141
4984,4984,0.692461842105263,0.472646481481481,-0.219815360623782,38,108,0.021657939370427
5092,5092,0.472646481481481,0.293386363636364,-0.179260117845118,108,55,0.0179374013234078
5147,5147,0.293386363636364,0.400941073825503,0.10755471018914,55,149,0.0177716406169794
5296,5296,0.400941073825503,0.623421935483871,0.222480861658367,149,62,0.0182115960337308
5358,5358,0.623421935483871,0.383118942307692,-0.240302993176179,62,104,0.017725797443073
5462,5462,0.383118942307692,0.585318493150685,0.202199550842993,104,73,0.0175728855762992
5535,5535,0.585318493150685,0.505668356164384,-0.0796501369863013,73,292,0.0162723276518747
5827,5827,0.505668356164384,0.619391595744681,0.113723239580297,292,94,0.0153639559982959
5921,5921,0.619391595744681,0.910268,0.290876404255319,94,15,0.0244117520055409
5936,5936,0.910268,0.635863580246913,-0.274404419753087,15,81,0.0249052281554949
6017,6017,0.635863580246913,0.3791101,-0.256753480246914,81,100,0.0211841840186498
6117,6117,0.3791101,0.703492222222222,0.324382122222222,100,18,0.0317307977011623
6135,6135,0.703492222222222,0.378911388888889,-0.324580833333333,18,36,0.0336945778028771
6171,6171,0.378911388888889,0.484249366666667,0.105337977777778,36,300,0.0203817195292225
